image,country,count_boundary_pixels,count_parcel_pixels,count_background_pixels
FR_37688_S2_10m_256.nc,FR,19667,52271,13265
AT_9830_S2_10m_256.nc,AT,21430,36230,29306
SE_15034_S2_10m_256.nc,SE,22444,33798,31738
AT_7151_S2_10m_256.nc,AT,22674,46008,19528
AT_7961_S2_10m_256.nc,AT,10425,12494,53042
ES_1312_S2_10m_256.nc,ES,31564,55015,10521
FR_14436_S2_10m_256.nc,FR,3763,18713,46823
NL_2562_S2_10m_256.nc,NL,20223,30406,35130
AT_5826_S2_10m_256.nc,AT,27361,39316,26220
SE_28229_S2_10m_256.nc,SE,6251,13097,52439
AT_7115_S2_10m_256.nc,AT,12037,15898,49638
SE_12786_S2_10m_256.nc,SE,18111,58199,7337
AT_7283_S2_10m_256.nc,AT,282,214,65322
SE_25181_S2_10m_256.nc,SE,1162,3283,62253
NL_3363_S2_10m_256.nc,NL,18716,54467,11069
NL_4211_S2_10m_256.nc,NL,24977,40049,25487
AT_6665_S2_10m_256.nc,AT,7911,10677,54859
FR_17320_S2_10m_256.nc,FR,20725,45227,20309
AT_6343_S2_10m_256.nc,AT,22743,35327,30209
NL_1818_S2_10m_256.nc,NL,3143,57048,8488
FR_57497_S2_10m_256.nc,FR,8625,51433,14103
AT_8549_S2_10m_256.nc,AT,1521,1368,64168
SE_12345_S2_10m_256.nc,SE,15377,22501,43035
SE_28546_S2_10m_256.nc,SE,11780,16245,49291
AT_9964_S2_10m_256.nc,AT,24624,58279,7257
SE_25554_S2_10m_256.nc,SE,1328,2190,63346
SE_10083_S2_10m_256.nc,SE,12841,19164,46372
AT_612_S2_10m_256.nc,AT,2596,4025,61511
FR_23255_S2_10m_256.nc,FR,24912,40580,24956
AT_6003_S2_10m_256.nc,AT,8034,53534,12002
ES_3700_S2_10m_256.nc,ES,25425,47159,18377
FR_33538_S2_10m_256.nc,FR,24907,44255,21281
FR_51186_S2_10m_256.nc,FR,9734,14727,50809
FR_44534_S2_10m_256.nc,FR,5546,12440,53096
SE_28235_S2_10m_256.nc,SE,16939,38899,26637
AT_4759_S2_10m_256.nc,AT,11132,19129,46407
AT_6623_S2_10m_256.nc,AT,2574,6504,59032
SE_15415_S2_10m_256.nc,SE,628,1287,64249
FR_57793_S2_10m_256.nc,FR,7221,41042,24494
FR_30288_S2_10m_256.nc,FR,12544,32496,33040
SI_588_S2_10m_256.nc,SI,18797,20960,44576
AT_5304_S2_10m_256.nc,AT,20625,53249,12287
NL_3102_S2_10m_256.nc,NL,22323,38108,27428
FR_48479_S2_10m_256.nc,FR,10516,16155,49381
ES_1369_S2_10m_256.nc,ES,33931,43397,22139
AT_9802_S2_10m_256.nc,AT,24659,55903,9633
NL_1108_S2_10m_256.nc,NL,17942,54188,11348
AT_7555_S2_10m_256.nc,AT,15026,21726,43810
ES_2902_S2_10m_256.nc,ES,1845,1250,64286
FR_48147_S2_10m_256.nc,FR,249,282,65254
AT_7333_S2_10m_256.nc,AT,9480,16748,48788
SE_8134_S2_10m_256.nc,SE,28163,52263,13273
FR_21484_S2_10m_256.nc,FR,22081,47631,17905
SE_11654_S2_10m_256.nc,SE,1832,4165,61371
NL_3250_S2_10m_256.nc,NL,10336,19374,46162
LU_78_S2_10m_256.nc,LU,13443,20154,45382
NL_3520_S2_10m_256.nc,NL,17510,38737,26799
FR_54755_S2_10m_256.nc,FR,0,0,65536
SE_37099_S2_10m_256.nc,SE,2822,9088,56448
AT_690_S2_10m_256.nc,AT,15522,27309,38227
ES_3203_S2_10m_256.nc,ES,0,0,65536
FR_72054_S2_10m_256.nc,FR,14898,35772,29764
SE_32438_S2_10m_256.nc,SE,7982,26855,38681
AT_9749_S2_10m_256.nc,AT,14397,30623,34913
AT_7001_S2_10m_256.nc,AT,24306,45692,19844
SE_18974_S2_10m_256.nc,SE,2815,5318,60218
FR_42411_S2_10m_256.nc,FR,3162,4169,61367
ES_753_S2_10m_256.nc,ES,19088,18042,47494
FR_45165_S2_10m_256.nc,FR,10788,31364,34172
FR_32608_S2_10m_256.nc,FR,2305,24430,41106
FR_41751_S2_10m_256.nc,FR,10951,20912,44624
NL_2566_S2_10m_256.nc,NL,16227,22130,43406
SE_35562_S2_10m_256.nc,SE,8979,13121,52415
FR_20277_S2_10m_256.nc,FR,32531,54732,10804
ES_3390_S2_10m_256.nc,ES,13198,16144,49392
ES_993_S2_10m_256.nc,ES,10750,10767,54769
FR_12331_S2_10m_256.nc,FR,7286,12041,53495
SE_43956_S2_10m_256.nc,SE,11114,21196,44340
FR_58089_S2_10m_256.nc,FR,2659,10826,54710
AT_6455_S2_10m_256.nc,AT,4573,13907,51629
SE_13506_S2_10m_256.nc,SE,12095,16467,49069
FR_36295_S2_10m_256.nc,FR,24891,55268,10268
FR_52368_S2_10m_256.nc,FR,12761,37230,28306
SI_1970_S2_10m_256.nc,SI,30701,41294,24242
FR_56768_S2_10m_256.nc,FR,19415,45203,20333
NL_1976_S2_10m_256.nc,NL,13356,20896,44640
FR_26414_S2_10m_256.nc,FR,5364,11760,53776
NL_2899_S2_10m_256.nc,NL,0,0,65536
AT_1497_S2_10m_256.nc,AT,24296,25051,40485
AT_4635_S2_10m_256.nc,AT,4986,8883,56653
FR_47323_S2_10m_256.nc,FR,11982,19374,46162
AT_3570_S2_10m_256.nc,AT,285,1264,64272
LU_132_S2_10m_256.nc,LU,17543,32135,33401
FR_47258_S2_10m_256.nc,FR,778,13369,52167
NL_4523_S2_10m_256.nc,NL,20495,38075,27461
FR_59160_S2_10m_256.nc,FR,4700,65312,224
FR_38305_S2_10m_256.nc,FR,6378,19825,45711
AT_8798_S2_10m_256.nc,AT,30774,55654,9882
SE_11659_S2_10m_256.nc,SE,13002,20702,44834
NL_2200_S2_10m_256.nc,NL,12889,13086,52450
FR_57514_S2_10m_256.nc,FR,1873,7569,57967
FR_46462_S2_10m_256.nc,FR,16929,36784,28752
AT_5452_S2_10m_256.nc,AT,21984,46926,18610
SI_1150_S2_10m_256.nc,SI,1912,3879,61657
AT_2753_S2_10m_256.nc,AT,12982,22415,43121
FR_52231_S2_10m_256.nc,FR,8839,20295,45241
FR_38555_S2_10m_256.nc,FR,1253,1918,63618
FR_34560_S2_10m_256.nc,FR,28642,44965,20571
AT_1648_S2_10m_256.nc,AT,7014,33277,32259
NL_1259_S2_10m_256.nc,NL,18712,55763,9773
AT_7337_S2_10m_256.nc,AT,16613,23929,41607
FR_14799_S2_10m_256.nc,FR,18290,39032,26504
AT_7190_S2_10m_256.nc,AT,2524,28764,36772
NL_3453_S2_10m_256.nc,NL,24975,54998,10538
NL_3050_S2_10m_256.nc,NL,11718,45179,20357
NL_2967_S2_10m_256.nc,NL,8215,9827,55709
FR_41507_S2_10m_256.nc,FR,31425,54499,11037
SE_22861_S2_10m_256.nc,SE,3221,3392,62144
FR_32135_S2_10m_256.nc,FR,20622,30324,35212
AT_5941_S2_10m_256.nc,AT,5275,38463,27073
SE_26321_S2_10m_256.nc,SE,8763,16127,49409
SE_16966_S2_10m_256.nc,SE,7860,9117,56419
AT_7838_S2_10m_256.nc,AT,30652,53732,11804
SI_2192_S2_10m_256.nc,SI,20844,25704,39832
FR_16128_S2_10m_256.nc,FR,2338,16458,49078
AT_3656_S2_10m_256.nc,AT,11451,14651,50885
AT_3951_S2_10m_256.nc,AT,9584,16068,49468
NL_3750_S2_10m_256.nc,NL,13015,11298,54238
FR_42618_S2_10m_256.nc,FR,23729,35468,30068
FR_39564_S2_10m_256.nc,FR,29198,52708,12828
SE_16574_S2_10m_256.nc,SE,16392,29576,35960
AT_6481_S2_10m_256.nc,AT,23267,42389,23147
SE_33147_S2_10m_256.nc,SE,6145,63168,2368
AT_6179_S2_10m_256.nc,AT,0,0,65536
ES_2185_S2_10m_256.nc,ES,0,0,65536
AT_8386_S2_10m_256.nc,AT,2778,2587,62949
AT_9831_S2_10m_256.nc,AT,28995,53181,12355
AT_3875_S2_10m_256.nc,AT,13974,21258,44278
AT_8245_S2_10m_256.nc,AT,10468,12502,53034
SE_27804_S2_10m_256.nc,SE,15758,28493,37043
FR_35939_S2_10m_256.nc,FR,22807,37131,28405
AT_6925_S2_10m_256.nc,AT,14157,28728,36808
AT_9801_S2_10m_256.nc,AT,23679,54614,10922
SE_14722_S2_10m_256.nc,SE,3160,5368,60168
NL_1967_S2_10m_256.nc,NL,13927,21906,43630
NL_3490_S2_10m_256.nc,NL,23202,36775,28761
NL_4750_S2_10m_256.nc,NL,24180,54862,10674
FR_37874_S2_10m_256.nc,FR,25254,36185,29351
FR_36695_S2_10m_256.nc,FR,22693,55805,9731
AT_8488_S2_10m_256.nc,AT,19120,26841,38695
AT_6478_S2_10m_256.nc,AT,5865,8297,57239
SI_1876_S2_10m_256.nc,SI,26221,36864,28672
AT_2765_S2_10m_256.nc,AT,3781,14822,50714
AT_9823_S2_10m_256.nc,AT,10466,31351,34185
FR_34961_S2_10m_256.nc,FR,12761,32462,33074
FR_70125_S2_10m_256.nc,FR,5593,19789,45747
FR_18597_S2_10m_256.nc,FR,1174,2081,63455
FR_54265_S2_10m_256.nc,FR,5278,11397,54139
SE_12782_S2_10m_256.nc,SE,10437,17203,48333
NL_3499_S2_10m_256.nc,NL,1906,2380,63156
FR_57238_S2_10m_256.nc,FR,1362,3699,61837
LU_97_S2_10m_256.nc,LU,23642,37753,27783
NL_720_S2_10m_256.nc,NL,271,220,65316
FR_50841_S2_10m_256.nc,FR,2654,5674,59862
AT_6488_S2_10m_256.nc,AT,7847,10935,54601
NL_1658_S2_10m_256.nc,NL,742,400,65136
ES_1234_S2_10m_256.nc,ES,6374,7913,57623
NL_2136_S2_10m_256.nc,NL,21983,45523,20013
FR_59693_S2_10m_256.nc,FR,0,0,65536
AT_6476_S2_10m_256.nc,AT,82,48,65488
ES_705_S2_10m_256.nc,ES,18524,60151,5385
FR_49276_S2_10m_256.nc,FR,16040,33593,31943
NL_1953_S2_10m_256.nc,NL,5370,2579,62957
AT_8999_S2_10m_256.nc,AT,4061,4408,61128
SE_19723_S2_10m_256.nc,SE,3350,5357,60179
NL_3116_S2_10m_256.nc,NL,23584,31171,34365
SE_31687_S2_10m_256.nc,SE,15706,30904,34632
LU_34_S2_10m_256.nc,LU,9056,15540,49996
NL_2755_S2_10m_256.nc,NL,0,0,65536
AT_5703_S2_10m_256.nc,AT,2121,45439,20097
AT_7495_S2_10m_256.nc,AT,8278,16351,49185
FR_49463_S2_10m_256.nc,FR,1661,2275,63261
FR_20090_S2_10m_256.nc,FR,25959,49034,16502
FR_45698_S2_10m_256.nc,FR,5954,12336,53200
FR_62841_S2_10m_256.nc,FR,26548,49024,16512
SE_13123_S2_10m_256.nc,SE,14582,30141,35395
LU_191_S2_10m_256.nc,LU,19073,38055,27481
AT_5286_S2_10m_256.nc,AT,1181,5438,60098
FR_71222_S2_10m_256.nc,FR,302,2427,63109
FR_55972_S2_10m_256.nc,FR,1581,3217,62319
NL_3508_S2_10m_256.nc,NL,4246,6986,58550
FR_56951_S2_10m_256.nc,FR,6606,7148,58388
AT_7986_S2_10m_256.nc,AT,17527,24894,40642
SI_687_S2_10m_256.nc,SI,4064,5189,60347
AT_4987_S2_10m_256.nc,AT,0,0,65536
ES_1546_S2_10m_256.nc,ES,18619,15393,50143
ES_1137_S2_10m_256.nc,ES,9276,6847,58689
FR_58639_S2_10m_256.nc,FR,1360,10200,55336
AT_1051_S2_10m_256.nc,AT,1169,2028,63508
SE_25494_S2_10m_256.nc,SE,20614,32395,33141
NL_2807_S2_10m_256.nc,NL,22179,36360,29176
FR_44052_S2_10m_256.nc,FR,16311,26903,38633
FR_35738_S2_10m_256.nc,FR,26785,42415,23121
NL_1333_S2_10m_256.nc,NL,21497,41731,23805
ES_1787_S2_10m_256.nc,ES,28789,44281,21255
ES_883_S2_10m_256.nc,ES,32958,52295,13241
NL_4443_S2_10m_256.nc,NL,24436,42253,23283
FR_55105_S2_10m_256.nc,FR,9443,30448,35088
SE_5460_S2_10m_256.nc,SE,20186,30559,34977
ES_1364_S2_10m_256.nc,ES,34009,38790,26746
FR_35656_S2_10m_256.nc,FR,3268,4080,61456
AT_6771_S2_10m_256.nc,AT,251,172,65364
AT_9684_S2_10m_256.nc,AT,21315,39233,26303
AT_6763_S2_10m_256.nc,AT,1045,5185,60351
AT_763_S2_10m_256.nc,AT,5886,43650,21886
AT_6893_S2_10m_256.nc,AT,10710,21791,43745
AT_7370_S2_10m_256.nc,AT,24963,43392,22144
FR_24415_S2_10m_256.nc,FR,15527,38556,26980
NL_1963_S2_10m_256.nc,NL,29763,32276,33260
SI_2010_S2_10m_256.nc,SI,25951,37238,28298
SE_28210_S2_10m_256.nc,SE,5648,12712,52824
AT_9366_S2_10m_256.nc,AT,28697,37950,27586
SI_2104_S2_10m_256.nc,SI,27672,39643,25893
AT_8915_S2_10m_256.nc,AT,19870,29262,36274
AT_6560_S2_10m_256.nc,AT,21401,47993,17543
FR_45168_S2_10m_256.nc,FR,1845,4515,61021
FR_24769_S2_10m_256.nc,FR,19692,48729,16807
NL_4076_S2_10m_256.nc,NL,5215,17782,47754
SE_17421_S2_10m_256.nc,SE,8068,16601,48935
AT_4756_S2_10m_256.nc,AT,7441,33611,31925
SE_27424_S2_10m_256.nc,SE,17465,36818,28718
NL_3436_S2_10m_256.nc,NL,18722,54123,11413
NL_4894_S2_10m_256.nc,NL,21980,37314,28222
ES_1912_S2_10m_256.nc,ES,28422,45705,19831
SE_12430_S2_10m_256.nc,SE,4098,10486,55050
AT_3866_S2_10m_256.nc,AT,683,2866,62670
AT_7379_S2_10m_256.nc,AT,25303,32676,32860
SE_44927_S2_10m_256.nc,SE,9538,18581,46955
AT_6745_S2_10m_256.nc,AT,7418,12890,52646
NL_2518_S2_10m_256.nc,NL,18534,32202,33334
LU_160_S2_10m_256.nc,LU,21654,34337,31199
SE_21667_S2_10m_256.nc,SE,12969,37101,28435
NL_1109_S2_10m_256.nc,NL,0,0,65536
NL_3404_S2_10m_256.nc,NL,21289,42009,23527
SE_10808_S2_10m_256.nc,SE,23262,54285,11251
FR_15573_S2_10m_256.nc,FR,0,0,65536
SI_1432_S2_10m_256.nc,SI,29338,34331,31205
FR_49367_S2_10m_256.nc,FR,71,40,65496
ES_3762_S2_10m_256.nc,ES,27975,42763,22773
AT_6456_S2_10m_256.nc,AT,2994,11185,54351
AT_8697_S2_10m_256.nc,AT,2029,25829,39707
FR_50453_S2_10m_256.nc,FR,0,0,65536
AT_4972_S2_10m_256.nc,AT,0,0,65536
SE_8901_S2_10m_256.nc,SE,20019,43313,22223
AT_4997_S2_10m_256.nc,AT,20778,35758,29778
FR_40684_S2_10m_256.nc,FR,13280,18950,46586
SE_32001_S2_10m_256.nc,SE,17541,26945,38591
FR_48232_S2_10m_256.nc,FR,14159,32920,32616
SE_30161_S2_10m_256.nc,SE,5927,25967,39569
FR_56385_S2_10m_256.nc,FR,1759,6531,59005
FR_50971_S2_10m_256.nc,FR,9471,33883,31653
AT_3284_S2_10m_256.nc,AT,12266,16201,49335
AT_6303_S2_10m_256.nc,AT,5605,31358,34178
FR_56960_S2_10m_256.nc,FR,948,7280,58256
AT_6837_S2_10m_256.nc,AT,2672,9665,55871
AT_8636_S2_10m_256.nc,AT,21145,51171,14365
NL_3214_S2_10m_256.nc,NL,0,0,65536
AT_5503_S2_10m_256.nc,AT,12748,19013,46523
SE_14693_S2_10m_256.nc,SE,12625,16130,49406
FR_44774_S2_10m_256.nc,FR,0,0,65536
AT_8398_S2_10m_256.nc,AT,6938,6938,58598
ES_886_S2_10m_256.nc,ES,29125,56489,9047
ES_642_S2_10m_256.nc,ES,29045,40347,25189
AT_6822_S2_10m_256.nc,AT,5730,7058,58478
FR_9609_S2_10m_256.nc,FR,22904,35332,30204
ES_3822_S2_10m_256.nc,ES,28338,48298,17238
FR_55976_S2_10m_256.nc,FR,13122,30762,34774
SI_2233_S2_10m_256.nc,SI,26523,39758,25778
FR_70397_S2_10m_256.nc,FR,1576,5920,59616
NL_1023_S2_10m_256.nc,NL,0,0,65536
FR_19733_S2_10m_256.nc,FR,30041,52676,12860
FR_29686_S2_10m_256.nc,FR,11710,23144,42392
FR_40104_S2_10m_256.nc,FR,10832,20677,44859
AT_8478_S2_10m_256.nc,AT,2586,1595,63941
FR_63405_S2_10m_256.nc,FR,30056,42282,23254
AT_4027_S2_10m_256.nc,AT,2243,18872,46664
SE_35550_S2_10m_256.nc,SE,8287,17161,48375
AT_8840_S2_10m_256.nc,AT,2802,2889,62647
FR_28243_S2_10m_256.nc,FR,20352,31360,34176
AT_7659_S2_10m_256.nc,AT,1015,4407,61129
AT_7947_S2_10m_256.nc,AT,10036,13856,51680
NL_3053_S2_10m_256.nc,NL,12109,17399,48137
ES_1544_S2_10m_256.nc,ES,35903,40709,24827
SE_14720_S2_10m_256.nc,SE,13163,47000,18536
SE_12777_S2_10m_256.nc,SE,20490,27175,38361
FR_35756_S2_10m_256.nc,FR,14928,48071,17465
AT_9444_S2_10m_256.nc,AT,19794,50918,14618
SE_28222_S2_10m_256.nc,SE,6017,11019,54517
ES_1396_S2_10m_256.nc,ES,0,0,65536
SE_24397_S2_10m_256.nc,SE,10443,23624,41912
FR_53967_S2_10m_256.nc,FR,5305,9064,56472
FR_58365_S2_10m_256.nc,FR,3332,23704,41832
NL_3454_S2_10m_256.nc,NL,26017,55240,10296
FR_34176_S2_10m_256.nc,FR,12684,30782,34754
NL_2797_S2_10m_256.nc,NL,23690,34091,31445
FR_59468_S2_10m_256.nc,FR,231,795,64741
LU_56_S2_10m_256.nc,LU,11617,14676,50860
SI_1468_S2_10m_256.nc,SI,21754,24681,40855
FR_54287_S2_10m_256.nc,FR,13359,33431,32105
AT_5948_S2_10m_256.nc,AT,3443,54736,10800
FR_54711_S2_10m_256.nc,FR,5276,49478,16058
SE_17419_S2_10m_256.nc,SE,19370,52628,12908
FR_58359_S2_10m_256.nc,FR,0,0,65536
SI_548_S2_10m_256.nc,SI,16979,16997,48539
ES_1067_S2_10m_256.nc,ES,27390,43202,22334
ES_945_S2_10m_256.nc,ES,29087,55726,9810
ES_3384_S2_10m_256.nc,ES,21247,32877,32659
FR_33999_S2_10m_256.nc,FR,8805,14176,51360
NL_2716_S2_10m_256.nc,NL,4019,5589,59947
SE_35161_S2_10m_256.nc,SE,11536,31420,34116
FR_8766_S2_10m_256.nc,FR,6819,12579,52957
AT_8083_S2_10m_256.nc,AT,21041,27272,38264
SE_8132_S2_10m_256.nc,SE,22059,40063,25473
SI_2008_S2_10m_256.nc,SI,32200,41874,23662
AT_10105_S2_10m_256.nc,AT,45568,54655,10881
SI_2052_S2_10m_256.nc,SI,26850,35272,30264
AT_5930_S2_10m_256.nc,AT,8695,18442,47094
FR_52265_S2_10m_256.nc,FR,6684,7665,57871
AT_6825_S2_10m_256.nc,AT,8727,11578,53958
AT_6467_S2_10m_256.nc,AT,1341,2981,62555
AT_8422_S2_10m_256.nc,AT,20683,20913,44623
NL_3576_S2_10m_256.nc,NL,4001,5274,60262
SE_34398_S2_10m_256.nc,SE,14020,29582,35954
ES_2040_S2_10m_256.nc,ES,9194,5727,59809
FR_21886_S2_10m_256.nc,FR,21933,45284,20252
FR_20279_S2_10m_256.nc,FR,29235,51339,14197
AT_6161_S2_10m_256.nc,AT,2564,20843,44693
FR_36696_S2_10m_256.nc,FR,22216,58762,6774
SE_11607_S2_10m_256.nc,SE,7155,10685,54851
FR_28388_S2_10m_256.nc,FR,15539,32747,32789
AT_5887_S2_10m_256.nc,AT,16267,19746,45790
NL_3642_S2_10m_256.nc,NL,10824,19222,46314
FR_51944_S2_10m_256.nc,FR,1447,15705,49831
FR_21899_S2_10m_256.nc,FR,17965,41465,24071
FR_27922_S2_10m_256.nc,FR,6570,64887,649
AT_6008_S2_10m_256.nc,AT,1455,13626,51910
FR_47102_S2_10m_256.nc,FR,6189,33875,31661
FR_39812_S2_10m_256.nc,FR,22423,27059,38477
FR_40445_S2_10m_256.nc,FR,366,437,65099
SI_1192_S2_10m_256.nc,SI,6664,8791,56745
NL_2596_S2_10m_256.nc,NL,23687,44226,21310
AT_9963_S2_10m_256.nc,AT,12952,27124,38412
FR_53084_S2_10m_256.nc,FR,2986,16982,48554
SE_28240_S2_10m_256.nc,SE,12957,23599,41937
FR_72349_S2_10m_256.nc,FR,4768,27610,37926
AT_6474_S2_10m_256.nc,AT,9257,14543,50993
FR_21608_S2_10m_256.nc,FR,20253,53414,12122
FR_69857_S2_10m_256.nc,FR,1965,7315,58221
ES_1556_S2_10m_256.nc,ES,29953,50418,15118
AT_5426_S2_10m_256.nc,AT,6133,27304,38232
SE_30502_S2_10m_256.nc,SE,13277,22920,42616
AT_7127_S2_10m_256.nc,AT,3212,8294,57242
FR_35422_S2_10m_256.nc,FR,26192,34329,31207
AT_617_S2_10m_256.nc,AT,19152,36408,29128
SE_19707_S2_10m_256.nc,SE,18242,22124,43412
AT_8103_S2_10m_256.nc,AT,1965,7317,58219
AT_5222_S2_10m_256.nc,AT,24427,53999,11537
SE_33980_S2_10m_256.nc,SE,10605,24060,41476
SE_6604_S2_10m_256.nc,SE,8878,12985,52551
FR_61900_S2_10m_256.nc,FR,7264,37038,28498
SE_33225_S2_10m_256.nc,SE,5456,16391,49145
AT_6483_S2_10m_256.nc,AT,23629,54225,11311
FR_32690_S2_10m_256.nc,FR,5990,9321,56215
AT_5500_S2_10m_256.nc,AT,6244,24935,40601
SI_1649_S2_10m_256.nc,SI,25838,28876,36660
SE_44934_S2_10m_256.nc,SE,5632,11062,54474
FR_53088_S2_10m_256.nc,FR,1499,14300,51236
AT_2761_S2_10m_256.nc,AT,0,0,65536
SE_28565_S2_10m_256.nc,SE,6963,8843,56693
AT_5080_S2_10m_256.nc,AT,22407,41936,23600
ES_879_S2_10m_256.nc,ES,18414,24060,41476
FR_46151_S2_10m_256.nc,FR,0,0,65536
AT_755_S2_10m_256.nc,AT,5819,17861,47675
AT_6080_S2_10m_256.nc,AT,11539,21716,43820
AT_2530_S2_10m_256.nc,AT,3307,23427,42109
SE_13548_S2_10m_256.nc,SE,16511,22713,42823
SE_43176_S2_10m_256.nc,SE,18418,38404,27132
FR_21660_S2_10m_256.nc,FR,24723,46080,19456
SI_1790_S2_10m_256.nc,SI,14648,22866,42670
NL_3291_S2_10m_256.nc,NL,18548,53496,12040
SE_11619_S2_10m_256.nc,SE,8495,7934,57602
NL_3489_S2_10m_256.nc,NL,16794,28606,36930
FR_20487_S2_10m_256.nc,FR,26236,36813,28723
AT_7562_S2_10m_256.nc,AT,10159,17671,47865
FR_43260_S2_10m_256.nc,FR,18982,58541,6995
SE_30232_S2_10m_256.nc,SE,15704,18898,46638
FR_59724_S2_10m_256.nc,FR,185,236,65300
SE_23138_S2_10m_256.nc,SE,13253,21842,43694
AT_2313_S2_10m_256.nc,AT,4863,21673,43863
LU_118_S2_10m_256.nc,LU,10801,17052,48484
FR_39684_S2_10m_256.nc,FR,8802,28830,36706
SE_15482_S2_10m_256.nc,SE,22217,42898,22638
AT_5863_S2_10m_256.nc,AT,5185,5671,59865
FR_46214_S2_10m_256.nc,FR,30073,46631,18905
AT_4708_S2_10m_256.nc,AT,23178,50849,14687
NL_3302_S2_10m_256.nc,NL,24111,51360,14176
SE_13107_S2_10m_256.nc,SE,12729,36497,29039
SE_15901_S2_10m_256.nc,SE,10204,28148,37388
NL_2282_S2_10m_256.nc,NL,19089,25580,39956
AT_2611_S2_10m_256.nc,AT,1395,1396,64140
SE_25111_S2_10m_256.nc,SE,13320,34343,31193
AT_3865_S2_10m_256.nc,AT,0,0,65536
SI_1961_S2_10m_256.nc,SI,17762,17102,48434
NL_3439_S2_10m_256.nc,NL,0,0,65536
AT_6977_S2_10m_256.nc,AT,2560,3289,62247
LU_52_S2_10m_256.nc,LU,14900,28140,37396
NL_3271_S2_10m_256.nc,NL,12487,21530,44006
AT_2319_S2_10m_256.nc,AT,12601,23879,41657
AT_5884_S2_10m_256.nc,AT,53,42,65494
AT_4771_S2_10m_256.nc,AT,480,451,65085
FR_14291_S2_10m_256.nc,FR,22594,51296,14240
AT_6166_S2_10m_256.nc,AT,6207,28411,37125
NL_1565_S2_10m_256.nc,NL,17823,41814,23722
NL_3434_S2_10m_256.nc,NL,31091,42816,22720
FR_32959_S2_10m_256.nc,FR,6351,8460,57076
SE_14706_S2_10m_256.nc,SE,24694,48290,17246
FR_19527_S2_10m_256.nc,FR,23931,57649,7887
ES_3701_S2_10m_256.nc,ES,21028,29591,35945
SE_15478_S2_10m_256.nc,SE,19603,46107,19429
FR_18303_S2_10m_256.nc,FR,0,0,65536
AT_4749_S2_10m_256.nc,AT,8286,11348,54188
SI_1927_S2_10m_256.nc,SI,28052,33547,31989
NL_5065_S2_10m_256.nc,NL,22744,51702,13834
FR_34693_S2_10m_256.nc,FR,14825,60318,5218
FR_23289_S2_10m_256.nc,FR,22795,44887,20649
AT_5533_S2_10m_256.nc,AT,18588,29242,36294
ES_961_S2_10m_256.nc,ES,1222,1487,64049
FR_55837_S2_10m_256.nc,FR,6971,47568,17968
FR_37096_S2_10m_256.nc,FR,7015,14164,51372
AT_6915_S2_10m_256.nc,AT,7757,15965,49571
SE_8133_S2_10m_256.nc,SE,22185,55186,10350
FR_42607_S2_10m_256.nc,FR,25306,38819,26717
FR_16120_S2_10m_256.nc,FR,5191,12940,52596
AT_6371_S2_10m_256.nc,AT,18158,33351,32185
NL_2422_S2_10m_256.nc,NL,9754,15679,49857
AT_4101_S2_10m_256.nc,AT,8540,17009,48527
FR_21704_S2_10m_256.nc,FR,24687,53513,12023
FR_35369_S2_10m_256.nc,FR,11485,21740,43796
AT_9017_S2_10m_256.nc,AT,20649,58862,6674
NL_4284_S2_10m_256.nc,NL,18661,34865,30671
AT_9903_S2_10m_256.nc,AT,24546,56309,9227
FR_32775_S2_10m_256.nc,FR,17287,50940,14596
FR_26270_S2_10m_256.nc,FR,3377,6767,58769
FR_29965_S2_10m_256.nc,FR,12511,31417,34119
AT_5148_S2_10m_256.nc,AT,19713,38075,27461
NL_333_S2_10m_256.nc,NL,22107,51908,13628
NL_2869_S2_10m_256.nc,NL,10191,11901,53635
ES_1183_S2_10m_256.nc,ES,15083,12854,52682
NL_876_S2_10m_256.nc,NL,12250,28516,37020
SI_1261_S2_10m_256.nc,SI,8149,10127,55409
ES_1788_S2_10m_256.nc,ES,18147,22467,43069
AT_7084_S2_10m_256.nc,AT,26602,41072,24464
SE_17800_S2_10m_256.nc,SE,6194,11809,53727
FR_62033_S2_10m_256.nc,FR,1904,2383,63153
AT_4781_S2_10m_256.nc,AT,20103,43818,21718
AT_5656_S2_10m_256.nc,AT,0,0,65536
SE_4715_S2_10m_256.nc,SE,4876,5333,60203
NL_5146_S2_10m_256.nc,NL,17234,34952,30584
FR_51254_S2_10m_256.nc,FR,3120,8264,57272
AT_4374_S2_10m_256.nc,AT,2197,1710,63826
FR_47899_S2_10m_256.nc,FR,16733,46639,18897
SI_2278_S2_10m_256.nc,SI,21864,29036,36500
AT_6939_S2_10m_256.nc,AT,20326,26645,38891
NL_5298_S2_10m_256.nc,NL,16609,52951,12585
FR_13183_S2_10m_256.nc,FR,25935,51602,13934
NL_3213_S2_10m_256.nc,NL,11719,31369,34167
AT_6611_S2_10m_256.nc,AT,2603,18683,46853
SE_28548_S2_10m_256.nc,SE,2412,6319,59217
SE_11245_S2_10m_256.nc,SE,21587,51604,13932
ES_884_S2_10m_256.nc,ES,29738,52270,13266
ES_1063_S2_10m_256.nc,ES,30773,43995,21541
AT_4323_S2_10m_256.nc,AT,6826,36879,28657
NL_2056_S2_10m_256.nc,NL,18831,31062,34474
SE_31260_S2_10m_256.nc,SE,19391,29902,35634
ES_554_S2_10m_256.nc,ES,23097,57484,8052
